Ore Studio,Voto
0.0,3.3973713224089863
0.10101010101010101,2.9398936095681028
0.20202020202020202,3.619160931490655
0.30303030303030304,4.369939036641572
0.40404040404040403,3.014697502241533
0.5050505050505051,3.065215686965908
0.6060606060606061,4.566400555436216
0.7070707070707071,3.9674831368576804
0.8080808080808081,3.0284608952924423
0.9090909090909091,3.8885934894142262
1.0101010101010102,3.1343163508005354
1.1111111111111112,3.1829717526993497
1.2121212121212122,3.7996304233134333
1.3131313131313131,2.1259414608394183
1.4141414141414141,2.327136441060281
1.5151515151515151,3.3077457341829795
1.6161616161616161,2.997815911813269
1.7171717171717171,4.109983724662078
1.8181818181818181,3.1826716486739404
1.9191919191919191,2.8297529985277263
2.0202020202020203,5.182620025238254
2.121212121212121,3.8799850202168322
2.2222222222222223,4.165133674861449
2.323232323232323,3.021817612645396
2.4242424242424243,3.776615032501066
2.525252525252525,4.351364334394156
2.6262626262626263,3.392336451193471
2.727272727272727,4.6641947783129005
2.8282828282828283,3.9336304622063705
2.929292929292929,4.231291464811843
3.0303030303030303,4.033786225367998
3.131313131313131,6.047479113263716
3.2323232323232323,4.605363836371269
3.3333333333333335,3.8204979235019465
3.4343434343434343,5.375207646854268
3.5353535353535355,3.7910018476999503
3.6363636363636362,4.985272694185623
3.7373737373737375,3.3009507695830482
3.8383838383838382,3.856643080073174
3.9393939393939394,5.1271859583922685
4.040404040404041,5.610975284198349
4.141414141414141,5.207801695659048
4.242424242424242,5.028693495301528
4.343434343434343,4.93083421524574
4.444444444444445,4.03940462992828
4.545454545454545,4.6968519060115055
4.646464646464646,4.954721306464494
4.747474747474747,6.219435154712507
4.848484848484849,5.699137055897193
4.94949494949495,4.064315350457288
5.05050505050505,5.784519700768361
5.151515151515151,5.267691751424523
5.252525252525253,5.08472502601786
5.353535353535354,6.166108707840371
5.454545454545454,6.552072345269488
5.555555555555555,6.522801873070737
5.656565656565657,5.156908809704718
5.757575757575758,5.631417978106907
5.858585858585858,6.19430367441578
5.959595959595959,6.760234081495867
6.0606060606060606,5.646963640026798
6.161616161616162,5.9322808994770275
6.262626262626262,5.246245152108309
6.363636363636363,5.224852882553645
6.4646464646464645,6.88234389023859
6.565656565656566,7.367820305684941
6.666666666666667,6.275725236069067
6.767676767676767,7.186664702152004
6.8686868686868685,6.723652254381541
6.96969696969697,5.968752681164385
7.070707070707071,6.824470019760267
7.171717171717171,7.816287839031361
7.2727272727272725,6.607702805075675
7.373737373737374,7.938583611519892
7.474747474747475,4.641577654101941
7.575757575757575,7.445400791378966
7.6767676767676765,6.908021492974375
7.777777777777778,6.649683008516195
7.878787878787879,7.012802560622341
7.979797979797979,5.399843858218276
8.080808080808081,6.8646665301340315
8.181818181818182,7.376599148118488
8.282828282828282,8.323729377207354
8.383838383838384,6.777303017300274
8.484848484848484,6.595629360109692
8.585858585858587,6.891523658061664
8.686868686868687,8.075756037596003
8.787878787878787,7.656940281667141
8.88888888888889,7.020636281430813
8.98989898989899,7.905563441440179
9.09090909090909,7.623116584932977
9.191919191919192,8.370875588385907
9.292929292929292,7.084822171362764
9.393939393939394,7.434839979691483
9.494949494949495,7.433788224969021
9.595959595959595,6.627167839474103
9.696969696969697,8.08538107013651
9.797979797979798,8.10783411673381
9.8989898989899,7.953585714808918
10.0,7.812330293299882
